,langauge,expression,specific-known,specific-unknown,nonspecific,freechoice,negative-indefinite,npi
0,german,01n,0,0,0,0,1,0
1,german,01e,1,1,1,0,0,0
2,german,01i,0,1,1,1,0,1
5,dutch,02d,0,0,1,1,0,1
7,dutch,02i,1,1,1,0,0,0
8,dutch,02n,0,0,0,0,1,0
9,english,03a,0,0,0,1,0,1
11,english,03n,0,0,0,0,1,0
12,english,03s,1,1,1,0,0,0
13,swedish,04i,0,0,0,0,1,0
14,swedish,04n,1,1,1,0,0,1
15,swedish,04s,0,0,0,1,0,0
16,iceland,05ei,1,1,1,0,0,0
17,iceland,05en,0,0,0,0,1,0
18,iceland,05n,0,0,0,0,0,1
19,iceland,05no,0,0,0,0,0,1
20,iceland,05s,0,0,0,1,0,0
21,latin,06a,0,1,1,1,0,0
22,latin,06d,1,0,0,0,0,0
23,latin,06l,0,0,0,1,0,0
24,latin,06n,0,0,0,0,1,0
25,latin,06q,0,0,0,0,0,1
26,latin,06v,0,0,0,1,0,0
27,portug,07a,1,1,1,0,0,0
28,portug,07n,0,0,0,0,1,1
29,portug,07q,0,1,1,1,0,1
30,catalan,08a,1,1,1,0,0,0
31,catalan,08c,0,0,0,0,1,1
32,catalan,08q,0,0,0,1,0,0
33,french,09n,0,0,0,1,0,0
34,french,09p,0,0,0,0,1,1
35,french,09que,0,0,0,1,0,1
36,french,09quel,1,1,1,0,0,0
37,italian,10n,0,0,0,0,1,1
38,italian,10q,1,1,1,0,0,0
39,italian,10u,0,0,0,1,0,0
40,romanian,11n,0,0,0,0,1,1
41,romanian,11o,0,0,0,1,0,0
42,romanian,11v,1,1,1,0,0,0
44,greek,12d,0,0,0,1,0,0
45,greek,12k,0,1,1,0,0,0
46,greek,12t,0,0,1,0,1,0
47,bulgarian,13n,0,0,0,0,1,1
48,bulgarian,13nj,1,1,1,0,0,0
49,bulgarian,13t,0,0,0,1,0,1
50,serbian,14b,0,0,0,1,0,1
51,serbian,14i,0,0,0,0,0,1
52,serbian,14ne,1,1,1,0,0,0
53,serbian,14ni,0,0,0,0,1,0
54,polish,15k,0,0,0,1,0,1
55,polish,15n,0,0,0,0,1,0
56,polish,15s,1,1,1,0,0,0
57,russian,16b,0,0,0,0,0,1
58,russian,16k,1,0,0,0,0,0
59,russian,16l,0,0,1,0,0,1
60,russian,16n,0,0,0,0,1,0
61,russian,16ni,0,0,1,0,0,0
62,russian,16t,0,1,1,0,0,0
63,russian,16u,0,0,0,1,0,0
64,lithuanian,17b,0,0,0,1,0,0
66,lithuanian,17kai,1,0,0,0,0,0
67,lithuanian,17kaz,0,1,1,0,0,0
68,lithuanian,17ni,0,0,0,0,1,0
69,lithuanian,17no,0,0,1,0,0,1
70,latvian,18j,0,0,0,1,0,1
71,latvian,18k,1,1,1,0,0,0
72,latvian,18n,0,0,0,0,1,0
73,irish,19a,0,0,0,1,1,1
74,irish,19ar,0,0,0,1,0,1
76,irish,19e,1,1,1,0,0,0
77,ossetic,20d,1,1,0,0,0,0
78,ossetic,20dd,0,0,0,1,0,0
79,ossetic,20i,0,0,1,0,0,0
80,ossetic,20m,0,0,0,0,1,0
81,persian,21h,0,0,0,0,1,1
82,persian,21i,1,1,1,0,0,0
83,hindi,22b,0,0,1,1,0,1
84,hindi,22k,1,1,1,0,0,0
85,turkish,23b,1,1,1,0,0,0
86,turkish,23he,0,0,1,1,0,1
87,turkish,23hi,0,0,0,0,1,1
88,kazakh,24a,1,1,0,0,0,0
89,kazakh,24b,1,1,1,0,0,0
90,kazakh,24bd,0,0,0,1,0,1
91,kazakh,24e,0,0,0,0,1,0
92,yakut,25b,0,0,0,1,0,0
93,yakut,25d,0,0,0,1,1,1
94,yakut,25em,0,0,1,0,0,0
95,yakut,25er,1,1,0,0,0,0
96,hungarian,26a,0,0,0,1,0,1
97,hungarian,26s,0,0,0,0,1,0
98,hungarian,26v,1,1,1,1,0,1
100,finnish,27h,0,0,0,1,0,0
101,finnish,27ka,0,0,0,0,0,1
102,finnish,27ki,0,1,1,0,0,0
103,nanay,28d,0,0,1,0,1,1
104,nanay,28dx,0,0,0,1,0,0
105,nanay,28n,1,1,0,0,0,0
106,lezgian,29WH,1,1,1,0,0,0
107,lezgian,29X,0,0,0,0,1,1
108,lezgian,29xa,0,0,0,1,0,0
109,maltese,30e,0,0,0,0,1,1
110,maltese,30x,1,1,1,0,0,0
111,hebrew,31a,0,0,0,0,1,1
112,hebrew,31i,0,0,0,0,0,1
114,hebrew,31s,1,1,1,0,0,0
115,hausa,32k,0,0,0,1,0,1
116,hausa,32w,1,1,1,0,0,0
117,swahili,33CL,0,0,0,1,0,1
118,swahili,33GN,1,1,1,0,0,0
119,georgian,34a,0,0,1,0,1,0
120,georgian,34m,0,0,1,0,0,1
121,georgian,34y,1,1,0,0,0,0
122,kannada,35a,0,0,1,0,0,0
123,kannada,35o,0,1,0,0,0,0
124,kannada,35u,0,0,0,1,0,1
125,chinese,36b,0,0,1,0,0,0
126,chinese,36GN,1,1,0,0,0,0
128,chinese,36y,0,0,0,0,0,1
129,quechua,37b,1,1,0,0,0,0
130,quechua,37p,0,0,1,1,0,1
131,japanese,38d,0,0,0,1,0,0
132,japanese,38k,1,1,1,0,0,0
133,japanese,38m,0,0,0,0,1,1
134,korean,39b,1,1,1,0,0,0
135,korean,39n,0,0,0,1,0,0
136,korean,39t,0,0,0,0,1,1
137,basque,40ba,1,0,0,0,0,0
138,basque,40bi,0,1,1,0,0,0
139,basque,40e,0,0,0,1,0,0
140,basque,40i,0,0,0,0,1,1
