langauge,expression,specific-known,specific-unknown,nonspecific,freechoice,negative-indefinite,npi
german,01n,False,False,False,False,True,False
german,01e,True,True,True,False,False,False
german,01i,False,True,True,True,False,True
dutch,02d,False,False,True,True,False,True
dutch,02i,True,True,True,False,False,False
dutch,02n,False,False,False,False,True,False
english,03a,False,False,False,True,False,True
english,03n,False,False,False,False,True,False
english,03s,True,True,True,False,False,False
swedish,04i,False,False,False,False,True,False
swedish,04n,True,True,True,False,False,True
swedish,04s,False,False,False,True,False,False
iceland,05ei,True,True,True,False,False,False
iceland,05en,False,False,False,False,True,False
iceland,05n,False,False,False,False,False,True
iceland,05no,False,False,False,False,False,True
iceland,05s,False,False,False,True,False,False
latin,06a,False,True,True,True,False,False
latin,06d,True,False,False,False,False,False
latin,06l,False,False,False,True,False,False
latin,06n,False,False,False,False,True,False
latin,06q,False,False,False,False,False,True
latin,06v,False,False,False,True,False,False
portug,07a,True,True,True,False,False,False
portug,07n,False,False,False,False,True,True
portug,07q,False,True,True,True,False,True
catalan,08a,True,True,True,False,False,False
catalan,08c,False,False,False,False,True,True
catalan,08q,False,False,False,True,False,False
french,09n,False,False,False,True,False,False
french,09p,False,False,False,False,True,True
french,09que,False,False,False,True,False,True
french,09quel,True,True,True,False,False,False
italian,10n,False,False,False,False,True,True
italian,10q,True,True,True,False,False,False
italian,10u,False,False,False,True,False,False
romanian,11n,False,False,False,False,True,True
romanian,11o,False,False,False,True,False,False
romanian,11v,True,True,True,False,False,False
greek,12d,False,False,False,True,False,False
greek,12k,False,True,True,False,False,False
greek,12t,False,False,True,False,True,False
bulgarian,13n,False,False,False,False,True,True
bulgarian,13nj,True,True,True,False,False,False
bulgarian,13t,False,False,False,True,False,True
serbian,14b,False,False,False,True,False,True
serbian,14i,False,False,False,False,False,True
serbian,14ne,True,True,True,False,False,False
serbian,14ni,False,False,False,False,True,False
polish,15k,False,False,False,True,False,True
polish,15n,False,False,False,False,True,False
polish,15s,True,True,True,False,False,False
russian,16b,False,False,False,False,False,True
russian,16k,True,False,False,False,False,False
russian,16l,False,False,True,False,False,True
russian,16n,False,False,False,False,True,False
russian,16ni,False,False,True,False,False,False
russian,16t,False,True,True,False,False,False
russian,16u,False,False,False,True,False,False
lithuanian,17b,False,False,False,True,False,False
lithuanian,17kai,True,False,False,False,False,False
lithuanian,17kaz,False,True,True,False,False,False
lithuanian,17ni,False,False,False,False,True,False
lithuanian,17no,False,False,True,False,False,True
latvian,18j,False,False,False,True,False,True
latvian,18k,True,True,True,False,False,False
latvian,18n,False,False,False,False,True,False
irish,19a,False,False,False,True,True,True
irish,19ar,False,False,False,True,False,True
irish,19e,True,True,True,False,False,False
ossetic,20d,True,True,False,False,False,False
ossetic,20dd,False,False,False,True,False,False
ossetic,20i,False,False,True,False,False,False
ossetic,20m,False,False,False,False,True,False
persian,21h,False,False,False,False,True,True
persian,21i,True,True,True,False,False,False
hindi,22b,False,False,True,True,False,True
hindi,22k,True,True,True,False,False,False
turkish,23b,True,True,True,False,False,False
turkish,23he,False,False,True,True,False,True
turkish,23hi,False,False,False,False,True,True
kazakh,24a,True,True,False,False,False,False
kazakh,24b,True,True,True,False,False,False
kazakh,24bd,False,False,False,True,False,True
kazakh,24e,False,False,False,False,True,False
yakut,25b,False,False,False,True,False,False
yakut,25d,False,False,False,True,True,True
yakut,25em,False,False,True,False,False,False
yakut,25er,True,True,False,False,False,False
hungarian,26a,False,False,False,True,False,True
hungarian,26s,False,False,False,False,True,False
hungarian,26v,True,True,True,True,False,True
finnish,27h,False,False,False,True,False,False
finnish,27ka,False,False,False,False,False,True
finnish,27ki,False,True,True,False,False,False
nanay,28d,False,False,True,False,True,True
nanay,28dx,False,False,False,True,False,False
nanay,28n,True,True,False,False,False,False
lezgian,29WH,True,True,True,False,False,False
lezgian,29X,False,False,False,False,True,True
lezgian,29xa,False,False,False,True,False,False
maltese,30e,False,False,False,False,True,True
maltese,30x,True,True,True,False,False,False
hebrew,31a,False,False,False,False,True,True
hebrew,31i,False,False,False,False,False,True
hebrew,31s,True,True,True,False,False,False
hausa,32k,False,False,False,True,False,True
hausa,32w,True,True,True,False,False,False
swahili,33CL,False,False,False,True,False,True
swahili,33GN,True,True,True,False,False,False
georgian,34a,False,False,True,False,True,False
georgian,34m,False,False,True,False,False,True
georgian,34y,True,True,False,False,False,False
kannada,35a,False,False,True,False,False,False
kannada,35o,False,True,False,False,False,False
kannada,35u,False,False,False,True,False,True
chinese,36b,False,False,True,False,False,False
chinese,36GN,True,True,False,False,False,False
chinese,36y,False,False,False,False,False,True
quechua,37b,True,True,False,False,False,False
quechua,37p,False,False,True,True,False,True
japanese,38d,False,False,False,True,False,False
japanese,38k,True,True,True,False,False,False
japanese,38m,False,False,False,False,True,True
korean,39b,True,True,True,False,False,False
korean,39n,False,False,False,True,False,False
korean,39t,False,False,False,False,True,True
basque,40ba,True,False,False,False,False,False
basque,40bi,False,True,True,False,False,False
basque,40e,False,False,False,True,False,False
basque,40i,False,False,False,False,True,True
