language,expression,Daughter,Daughter_of_Daughter,Daughter_of_Ego_Older_Brother,Daughter_of_Ego_Older_Sister,Daughter_of_Ego_Younger_Brother,Daughter_of_Ego_Younger_Sister,Daughter_of_Son,Ego,Ego_Older_Brother,Ego_Older_Sister,Ego_Younger_Brother,Ego_Younger_Sister,Father,Maternal_Grandfather,Maternal_Grandmother,Maternal_Older_Brother,Maternal_Older_Sister,Maternal_Younger_Brother,Maternal_Younger_Sister,Mother,Paternal_Grandfather,Paternal_Grandmother,Paternal_Older_Brother,Paternal_Older_Sister,Paternal_Younger_Brother,Paternal_Younger_Sister,Son,Son_of_Daughter,Son_of_Ego_Older_Brother,Son_of_Ego_Older_Sister,Son_of_Ego_Younger_Brother,Son_of_Ego_Younger_Sister,Son_of_Son
English,grandmother,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
English,grandfather,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
English,mother,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
English,father,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
English,sister,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
English,brother,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
English,daughter,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
English,son,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
English,grandson,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
English,granddaughter,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
English,niece,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
English,nephew,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
English,uncle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
English,aunt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
